[KATEGORI_HARGA]
Nama Produk,Harga Satuan
SP ZERO,11000
SP 3GB,30000
SP 3GB ORI,25000
SP 9GB,30000
VDK,600
3GB 14HR,22500
Voucher 2.5GB,13200
Freedom Internet 3 GB,20000
Voucher 3.5GB 5HR,14500
Voucher 5GB 5HR,17250
Voucher 7GB 7HR,23000
Fi 6GB,30000
Fi 1.5GB/1D,6900
Fi 3GB/1D,7000
Fi 3GB/3D,12000
Fi 5GB/2D,9600
Fi 5GB/3D,13200

[DB_SALES]
ID DSE,Nama DSE,SP ZERO,SP 3GB,SP 3GB ORI,SP 6GB,SP 9GB,VDK,3GB 14HR,Voucher 2,5GB,Fi 3 GB,Voucher 3.5GB 5HR,Voucher 5GB 5HR,Voucher 7GB 7HR,Fi 6GB,V 10K,Fi 1.5GB/1D,Fi 3GB/1D,Fi 3GB/3D,Fi 5GB/2D,Fi 5GB/3D
SKBPLARA08,ANDI,2,0,0,0,0,110,0,239,0,6,47,24,0,3,21,0,0,53,0
SKBPLARA04,PARHAN,12,0,3,3,0,369,0,312,0,9,119,47,0,12,0,0,0,65,0
SKBPLARA11,ENDEN,24,0,0,0,0,30,0,228,0,40,55,2,0,0,0,0,0,33,0
DSESGRN01,PEBRIAN,48,0,0,0,0,0,0,212,0,28,28,3,0,0,0,9,0,9,0
